Student Number,Name,Email,Cohort,Mode of Entry
BScNM/2026/001,Benadetta Bandah,benadetta@dyuni.ac.mw,2026,Generic
BScNM/2026/002,Peter Mwale,peter@dyuni.ac.mw,2026,Generic
BScNM/2026/003,Alice Banda,alice@dyuni.ac.mw,2026,Upgrading
BScNM/2026/004,John Phiri,john@dyuni.ac.mw,2026,Generic
BScNM/2026/005,Mary Chisale,mary@dyuni.ac.mw,2026,Generic
BScNM/2026/006,David Mbewe,david@dyuni.ac.mw,2026,Upgrading
BScNM/2026/007,Sarah Kumwenda,sarah@dyuni.ac.mw,2026,Generic
BScNM/2026/008,Micah Banda,micah@dyuni.ac.mw,2026,Generic
BScNM/2026/009,Esther Phiri,esther@dyuni.ac.mw,2026,Upgrading
BScNM/2026/010,Joseph Nyirenda,joseph@dyuni.ac.mw,2026,Generic
BScNM/2026/011,Ruth Mwale,ruth@dyuni.ac.mw,2026,Generic
BScNM/2026/012,Daniel Banda,daniel@dyuni.ac.mw,2026,Upgrading
